Sl no,Student id,Name,Branch,Group,Slot 1,Slot 2,Slot 3,Venue
467,1RV26CSE288,Tanvi Yadav,CSE,B,9:15 AM - 10:30 AM,,,mca
468,1RV26CSE289,Vaishnavi Yadav,CSE,B,9:15 AM - 10:30 AM,,,mca
469,1RV26CSE290,Aditya Mishra,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
470,1RV26CSE291,Kunal Mishra,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
471,1RV26CSE292,Aman Naik,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
472,1RV26CSE293,Pooja Mishra,CSE,B,9:15 AM - 10:30 AM,,,mca
473,1RV26CSE294,Manya Verma,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
474,1RV26CSE295,Vaishnavi Iyer,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
475,1RV26CSE296,Varun Menon,CSE,B,9:15 AM - 10:30 AM,,,bt
476,1RV26CSE297,Nisha Gowda,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
477,1RV26CSE298,Aman Singh,CSE,B,9:15 AM - 10:30 AM,,,bt
478,1RV26CSE299,Shruti Kapoor,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
479,1RV26CSE300,Rachana Sharma,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
480,1RV26CSE301,Neha Hegde,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
481,1RV26CSE302,Manya Iyer,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
482,1RV26CSE303,Nikhil Iyer,CSE,B,9:15 AM - 10:30 AM,,,bt
483,1RV26CSE304,Vishal Kulkarni,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
484,1RV26CSE305,Manya Singh,CSE,B,9:15 AM - 10:30 AM,,,mca
485,1RV26CSE306,Karthik Soni,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
486,1RV26CSE307,Divya Sharma,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
487,1RV26CSE308,Pooja Kapoor,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
488,1RV26CSE309,Aman Iyer,CSE,B,9:15 AM - 10:30 AM,,,bt
489,1RV26CSE310,Priya Jain,CSE,B,9:15 AM - 10:30 AM,,,mca
490,1RV26CSE311,Vihaan Patil,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
491,1RV26CSE312,Meera Gowda,CSE,B,9:15 AM - 10:30 AM,,,mca
492,1RV26CSE313,Vivek Shetty,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
493,1RV26CSE314,Nisha Reddy,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
494,1RV26CSE315,Lakshmi Gupta,CSE,B,9:15 AM - 10:30 AM,,,mca
495,1RV26CSE316,Nandini Kale,CSE,B,9:15 AM - 10:30 AM,,,mca
496,1RV26CSE317,Dhruv Patil,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
497,1RV26CSE318,Pranav Menon,CSE,B,9:15 AM - 10:30 AM,,,bt
498,1RV26CSE319,Vishal Kapoor,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
499,1RV26CSE320,Nandini Mehta,CSE,B,9:15 AM - 10:30 AM,,,bt
500,1RV26CSE321,Shashank Gupta,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
501,1RV26CSE322,Sanjana Gupta,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
502,1RV26CSE323,Diya Pandey,CSE,B,9:15 AM - 10:30 AM,,,bt
503,1RV26CSE324,Karthik Hegde,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
504,1RV26CSE325,Sanjana Naik,CSE,B,9:15 AM - 10:30 AM,,,bt
505,1RV26CSE326,Tejas Mehta,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
506,1RV26CSE327,Rachana Rao,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
507,1RV26CSE328,Meera Shetty,CSE,B,9:15 AM - 10:30 AM,,,bt
508,1RV26CSE329,Tanvi Joshi,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
509,1RV26CSE330,Arjun Mishra,CSE,B,9:15 AM - 10:30 AM,,,bt
510,1RV26CSE331,Ishan Kapoor,CSE,B,9:15 AM - 10:30 AM,,,bt
511,1RV26CSE332,Aryan Shetty,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
512,1RV26CSE333,Pragya Chauhan,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
513,1RV26CSE334,Vishal Sharma,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
514,1RV26CSE335,Sneha Das,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
515,1RV26CSE336,Anika Desai,CSE,B,9:15 AM - 10:30 AM,,,bt
516,1RV26CSE337,Aarav Rao,CSE,B,9:15 AM - 10:30 AM,,,bt
517,1RV26CSE338,Aarav Gupta,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
518,1RV26CSE339,Aman Yadav,CSE,B,9:15 AM - 10:30 AM,,,bt
519,1RV26CSE340,Sahana Menon,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
520,1RV26CSE341,Sahana Yadav,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
521,1RV26CSE342,Nandini Jain,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
522,1RV26CSE343,Harini Singh,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
523,1RV26CSE344,Yash Verma,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
524,1RV26CSE345,Lakshmi Reddy,CSE,B,9:15 AM - 10:30 AM,,,bt
525,1RV26CSE346,Ritvik Sharma,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
526,1RV26CSE347,Shruti Hegde,CSE,B,9:15 AM - 10:30 AM,,,bt
527,1RV26CSE348,Dhruv Gowda,CSE,B,9:15 AM - 10:30 AM,,,bt
528,1RV26CSE349,Aarohi Shetty,CSE,B,9:15 AM - 10:30 AM,,,bt
529,1RV26CSE350,Nandini Iyer,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
530,1RV26CSE351,Harini Mishra,CSE,B,9:15 AM - 10:30 AM,,,bt
531,1RV26CSE352,Yash Desai,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
532,1RV26CSE353,Sanjana Yadav,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
533,1RV26CSE354,Kunal Sharma,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
534,1RV26CSE355,Rishi Gowda,CSE,B,9:15 AM - 10:30 AM,,,bt
535,1RV26CSE356,Sneha Singh,CSE,B,9:15 AM - 10:30 AM,,,bt
536,1RV26CSE357,Vihaan Chauhan,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
537,1RV26CSE358,Ishan Chauhan,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
538,1RV26CSE359,Shruti Rao,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
539,1RV26CSE360,Aditya Naik,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
540,1RV26CSE361,Diya Kumar,CSE,B,9:15 AM - 10:30 AM,,,bt
541,1RV26CSE362,Sanjana Bhat,CSE,B,9:15 AM - 10:30 AM,,,bt
542,1RV26CSE363,Harini Verma,CSE,B,9:15 AM - 10:30 AM,,,bt
543,1RV26CSE364,Varun Iyer,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
544,1RV26CSE365,Ishita Das,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
545,1RV26CSE366,Priya Mishra,CSE,B,9:15 AM - 10:30 AM,,,bt
546,1RV26CSE367,Manya Pawar,CSE,B,9:15 AM - 10:30 AM,,,bt
547,1RV26CSE368,Rachana Mishra,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
548,1RV26CSE369,Madhav Das,CSE,B,9:15 AM - 10:30 AM,,,bt
549,1RV26CSE370,Harsh Mishra,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
550,1RV26CSE371,Neha Iyer,CSE,B,9:15 AM - 10:30 AM,,,bt
551,1RV26CSE372,Vivek Kapoor,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
552,1RV26CSE373,Krishna Verma,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
553,1RV26CSE374,Arjun Das,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
554,1RV26CSE375,Lakshmi Jain,CSE,B,9:15 AM - 10:30 AM,,,bt
555,1RV26CSE376,Rohan Naik,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
556,1RV26CSE377,Rachana Rao,CSE,B,9:15 AM - 10:30 AM,,,bt
557,1RV26CSE378,Nandini Sharma,CSE,B,9:15 AM - 10:30 AM,,,bt
558,1RV26CSE379,Pooja Kale,CSE,B,9:15 AM - 10:30 AM,,,bt
559,1RV26CSE380,Naveen Mishra,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
560,1RV26CSE381,Aarohi Mehta,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
561,1RV26CSE382,Harini Patil,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
562,1RV26CSE383,Arjun Rao,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
563,1RV26CSE384,Rahul Desai,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
564,1RV26CSE385,Anirudh Menon,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
565,1RV26CSE386,Manya Jain,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
566,1RV26CSE387,Tejas Nair,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
567,1RV26CSE388,Sanjana Reddy,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
568,1RV26CSE389,Vivek Jain,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
569,1RV26CSE390,Aditi Pandey,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
570,1RV26CSE391,Aditi Nair,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
571,1RV26CSE392,Tejas Pandey,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
572,1RV26CSE393,Ishan Bhat,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
573,1RV26CSE394,Siddharth Pawar,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
574,1RV26CSE395,Rachana Sharma,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
575,1RV26CSE396,Pranav Shetty,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
576,1RV26CSE397,Ritika Chauhan,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
577,1RV26CSE398,Arjun Pandey,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
578,1RV26CSE399,Sai Joshi,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
579,1RV26CSE400,Dhruv Soni,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
580,1RV26CSE401,Tanvi Kumar,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
581,1RV26CSE402,Shruti Joshi,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
582,1RV26CSE403,Rahul Gowda,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
583,1RV26CSE404,Pooja Naik,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
584,1RV26CSE405,Pranav Menon,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
585,1RV26CSE406,Nandini Mishra,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
586,1RV26CSE407,Dhruv Yadav,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
587,1RV26CSE408,Karthik Soni,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
588,1RV26CSE409,Dhruv Jain,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
589,1RV26CSE410,Krishna Kale,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
590,1RV26CSE411,Anjali Pandey,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
591,1RV26CSE412,Charvi Menon,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
592,1RV26CSE413,Naveen Desai,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
593,1RV26CSE414,Nandini Das,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
594,1RV26CSE415,Nisha Joshi,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
595,1RV26CSE416,Nandini Pandey,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
596,1RV26CSE417,Pranav Pawar,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
597,1RV26CSE418,Tanvi Joshi,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
598,1RV26CSE419,Naveen Kumar,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
599,1RV26CSE420,Shruti Hegde,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
600,1RV26CSE421,Neha Yadav,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
601,1RV26CSE422,Anika Gowda,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
602,1RV26CSE423,Ishita Pawar,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
603,1RV26CSE424,Tanvi Joshi,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
604,1RV26CSE425,Kunal Bhat,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
605,1RV26CSE426,Karthik Pandey,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
606,1RV26CSE427,Aarohi Chauhan,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
607,1RV26CSE428,Harini Soni,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
608,1RV26CSE429,Aditi Desai,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
609,1RV26CSE430,Yash Gowda,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
610,1RV26CSE431,Nandini Rao,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
611,1RV26CSE432,Rohan Singh,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
612,1RV26CSE433,Nandini Soni,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
613,1RV26CSE434,Vihaan Sharma,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
614,1RV26CSE435,Charvi Gupta,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
615,1RV26CSE436,Karthik Desai,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
616,1RV26CSE437,Aditi Mehta,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
617,1RV26CSE438,Vishal Singh,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
618,1RV26CSE439,Sai Verma,CSE,B,9:15 AM - 10:30 AM,,,classroom 3
619,1RV26CSE440,Aarav Desai,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
620,1RV26CSE441,Ishita Kale,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
621,1RV26CSE442,Anika Desai,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
622,1RV26CV001,Meera Kumar,CE,B,9:15 AM - 10:30 AM,,,mca
623,1RV26CV002,Shashank Mehta,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
624,1RV26CV003,Vishal Gupta,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
625,1RV26CV004,Neha Mishra,CE,B,9:15 AM - 10:30 AM,,,bt
626,1RV26CV005,Rachana Reddy,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
627,1RV26CV006,Aryan Kale,CE,B,9:15 AM - 10:30 AM,,,mca
628,1RV26CV007,Diya Kale,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
629,1RV26CV008,Naveen Kulkarni,CE,B,9:15 AM - 10:30 AM,,,mca
630,1RV26CV009,Aarohi Chauhan,CE,B,9:15 AM - 10:30 AM,,,bt
631,1RV26CV010,Ishita Naik,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
632,1RV26CV011,Anirudh Mishra,CE,B,9:15 AM - 10:30 AM,,,bt
633,1RV26CV012,Varun Kale,CE,B,9:15 AM - 10:30 AM,,,bt
634,1RV26CV013,Aditya Mishra,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
635,1RV26CV014,Aarohi Iyer,CE,B,9:15 AM - 10:30 AM,,,classroom 3
636,1RV26CV015,Divya Desai,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
637,1RV26CV016,Pranav Gowda,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
638,1RV26CV017,Priya Gowda,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
639,1RV26CV018,Vishal Soni,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
640,1RV26CV019,Rahul Rao,CE,B,9:15 AM - 10:30 AM,,,classroom 3
641,1RV26CV020,Anika Reddy,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
642,1RV26CV021,Ananya Naik,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
643,1RV26CV022,Naveen Pandey,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
644,1RV26CV023,Kunal Shetty,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
645,1RV26CV024,Ritika Pandey,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
646,1RV26CV025,Bhavana Sharma,CE,B,9:15 AM - 10:30 AM,,,classroom 3
647,1RV26CV026,Aman Shetty,CE,B,9:15 AM - 10:30 AM,,,classroom 3
648,1RV26CV027,Naveen Gowda,CE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
649,1RV26CY001,Pragya Bhat,CS,B,9:15 AM - 10:30 AM,,,civil
650,1RV26CY002,Siddharth Pawar,CS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
651,1RV26CY003,Meera Mishra,CS,B,9:15 AM - 10:30 AM,,,civil
652,1RV26CY004,Dhruv Pawar,CS,B,9:15 AM - 10:30 AM,,,civil
653,1RV26CY005,Ritika Mishra,CS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
654,1RV26CY006,Harini Nair,CS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
655,1RV26CY007,Madhav Patil,CS,B,9:15 AM - 10:30 AM,,,civil
656,1RV26CY008,Vishal Kale,CS,B,9:15 AM - 10:30 AM,,,civil
657,1RV26CY009,Ishan Soni,CS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
658,1RV26CY010,Manya Chauhan,CS,B,9:15 AM - 10:30 AM,,,civil
659,1RV26CY011,Madhav Reddy,CS,B,9:15 AM - 10:30 AM,,,chemical
660,1RV26CY012,Lakshmi Kapoor,CS,B,9:15 AM - 10:30 AM,,,chemical
661,1RV26CY013,Aryan Singh,CS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
662,1RV26CY014,Kunal Desai,CS,B,9:15 AM - 10:30 AM,,,chemical
663,1RV26CY015,Anirudh Kapoor,CS,B,9:15 AM - 10:30 AM,,,mca
664,1RV26CY016,Ritvik Nair,CS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
665,1RV26CY017,Pragya Bhat,CS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
666,1RV26CY018,Ritvik Naik,CS,B,9:15 AM - 10:30 AM,,,mca
667,1RV26CY019,Diya Joshi,CS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
668,1RV26CY020,Kunal Gowda,CS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
669,1RV26CY021,Meera Kale,CS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
670,1RV26CY022,Neha Patil,CS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
671,1RV26CY023,Sahana Yadav,CS,B,9:15 AM - 10:30 AM,,,chemical
672,1RV26CY024,Pooja Soni,CS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
673,1RV26CY025,Vaishnavi Mehta,CS,B,9:15 AM - 10:30 AM,,,mca
674,1RV26CY026,Rohan Kumar,CS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
675,1RV26CY027,Shruti Jain,CS,B,9:15 AM - 10:30 AM,,,mca
676,1RV26CY028,Manya Yadav,CS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
677,1RV26CY029,Tejas Nair,CS,B,9:15 AM - 10:30 AM,,,bt
678,1RV26CY030,Vihaan Nair,CS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
679,1RV26CY031,Diya Chauhan,CS,B,9:15 AM - 10:30 AM,,,bt
680,1RV26CY032,Sai Naik,CS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 1
681,1RV26CY033,Meera Soni,CS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
682,1RV26CY034,Ishan Nair,CS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,classroom 2
683,1RV26CY035,Nandini Nair,CS,B,9:15 AM - 10:30 AM,,,classroom 3
684,1RV26CY036,Harsh Iyer,CS,B,9:15 AM - 10:30 AM,,,classroom 3
685,1RV26DS001,Ishita Iyer,DS,B,9:15 AM - 10:30 AM,,,civil
686,1RV26DS002,Meera Sharma,DS,B,9:15 AM - 10:30 AM,,,civil
687,1RV26DS003,Aditi Das,DS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
688,1RV26DS004,Aryan Shetty,DS,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
689,1RV26DS005,Vihaan Kulkarni,DS,B,9:15 AM - 10:30 AM,,,civil
690,1RV26DS006,Vaishnavi Menon,DS,B,9:15 AM - 10:30 AM,,,civil
691,1RV26DS007,Madhav Singh,DS,B,9:15 AM - 10:30 AM,,,civil
